"url","Date","Title","Link","Actor"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","April 12, 2015","Video Remarks Announcing Candidacy for President","http://www.presidency.ucsb.edu/ws/index.php?pid=110028","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","April 14, 2015","Remarks in a Question and Answer Session at Kirkwood Community College in Cedar Rapids, Iowa","http://www.presidency.ucsb.edu/ws/index.php?pid=110044","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","April 20, 2015","Remarks in Keene, New Hampshire","http://www.presidency.ucsb.edu/ws/index.php?pid=110045","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","April 29, 2015","Address to the David N. Dinkins Leadership & Public Policy Forum at Columbia University in New York City","http://www.presidency.ucsb.edu/ws/index.php?pid=110274","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","May 5, 2015","Remarks at a Roundtable with Young Nevada Residents in Las Vegas, Nevada","http://www.presidency.ucsb.edu/ws/index.php?pid=110272","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","May 18, 2015","Remarks at a Campaign Event in Mason City, Iowa","http://www.presidency.ucsb.edu/ws/index.php?pid=111420","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","May 19, 2015","Remarks in Cedar Falls, Iowa","http://www.presidency.ucsb.edu/ws/index.php?pid=110271","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","May 20, 2015","Remarks in Chicago, Illinois","http://www.presidency.ucsb.edu/ws/index.php?pid=110270","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","May 27, 2015","Remarks to the Democratic Women's Council in Columbia, South Carolina","http://www.presidency.ucsb.edu/ws/index.php?pid=110268","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","June 4, 2015","Remarks at Texas Southern University in Houston","http://www.presidency.ucsb.edu/ws/index.php?pid=110269","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","June 13, 2015","Remarks in a Campaign ""Kickoff"" Speech in New York City","http://www.presidency.ucsb.edu/ws/index.php?pid=110267","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","June 15, 2015","Remarks and a Question and Answer Session at a Campaign Event in Rochester, New Hampshire","http://www.presidency.ucsb.edu/ws/index.php?pid=111419","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","July 12, 2015","Interview with Brianna Keilar of CNN's ""State of the Union""","http://www.presidency.ucsb.edu/ws/index.php?pid=111421","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","July 13, 2015","Remarks at the New School for Social Research in New York City","http://www.presidency.ucsb.edu/ws/index.php?pid=111418","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","September 9, 2015","Remarks and a Question and Answer Session at the Brookings Institution in Washington, DC","http://www.presidency.ucsb.edu/ws/index.php?pid=111417","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","September 17, 2015","Interview with Wolf Blitzer of CNN","http://www.presidency.ucsb.edu/ws/index.php?pid=111422","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","September 20, 2015","Interview with John Dickerson of CBS News ""Face the Nation""","http://www.presidency.ucsb.edu/ws/index.php?pid=111423","Hillary Clinton"
"http://www.presidency.ucsb.edu/2016_election_speeches.php?candidate=70&campaign=2016CLINTON&doctype=5000","September 27, 2015","Interview with Chuck Todd of NBC's ""Meet the Press""","http://www.presidency.ucsb.edu/ws/index.php?pid=111424","Hillary Clinton"
